lon,lat,bio1,bio12,ph,sand,silt,clay,soc,best_crop
48.21380962059884,27.595988853889665,25.751167,115.0,79,421,278,300,31,sorghum
41.0906022649797,29.001198054642927,22.198,96.0,80,379,266,355,66,alfalfa
48.39039035940687,21.916443518001408,28.525333,66.0,81,493,357,150,42,date_palm
50.99320573887718,21.137444960787256,28.545334,59.0,80,542,321,137,45,date_palm
51.5663019349054,22.644760256201256,28.266,65.0,80,542,317,141,46,date_palm
43.99207651365196,28.14651984163024,24.265333,163.0,80,310,445,245,50,wheat
37.27507247581665,26.00641298478387,24.932333,40.0,78,401,363,236,86,alfalfa
39.07456274096038,30.50803913585881,20.796833,66.0,81,337,361,303,52,wheat
46.11601371061212,21.260923223822527,28.296999,90.0,81,437,321,243,47,sorghum
50.00828814636379,19.54100297845209,29.013834,57.0,81,508,366,126,50,date_palm
46.531527973968245,23.430530984950625,25.076334,126.0,80,480,322,198,46,sorghum
50.22891948472224,20.70913630356699,28.783833,57.0,81,496,376,128,48,date_palm
47.57773345219415,18.259269844469188,28.923166,62.0,81,552,304,144,51,date_palm
38.79965140432709,25.304789454273816,27.0415,65.0,80,422,337,241,33,sorghum
41.81400067836295,29.6381006599713,22.949667,88.0,80,323,320,357,44,sorghum
50.57667426402747,24.68327317406081,26.782333,72.0,80,537,230,233,39,sorghum
48.508941139969934,22.278839953797718,27.942167,70.0,81,494,332,174,48,date_palm
38.93697650561875,30.064280420536072,21.626167,50.0,81,366,341,293,38,wheat
39.30741230930047,27.090259522975025,21.365166,96.0,79,356,359,285,58,alfalfa
41.819134917618,27.28712426320851,21.956667,169.0,79,382,307,311,56,wheat
52.20483736485399,22.16493025261439,28.395334,66.0,79,509,281,210,50,date_palm
49.18487172420162,22.100784269191934,28.438334,65.0,80,512,329,158,41,date_palm
37.286769886453634,27.04238399646644,20.6375,67.0,80,471,301,227,41,date_palm
36.505375986104966,29.09070577634514,20.467001,28.0,81,447,272,280,39,date_palm
43.22556603416442,25.32113410605569,25.438833,153.0,79,426,352,222,31,sorghum
47.069637341345285,22.228212387129453,27.971832,86.0,82,473,332,195,41,date_palm
51.20356421878705,19.85278055363929,28.568666,60.0,82,550,339,111,45,date_palm
49.99491733293495,25.574855918887444,26.3525,75.0,80,532,247,221,46,sorghum
43.41868726686823,27.5172652576088,23.845667,169.0,79,300,372,328,66,alfalfa
54.38858156730552,20.41350261395252,29.188334,88.0,80,553,308,139,50,date_palm
47.6332167273407,21.143813005867223,28.958166,69.0,81,492,342,166,49,date_palm
45.072914786851584,26.39107937831644,24.835835,191.0,79,426,365,210,23,sorghum
45.12605005607698,25.01478812332062,25.573166,156.0,79,476,307,218,40,sorghum
44.94866388125077,28.4605765267699,25.1395,178.0,80,330,418,252,34,sorghum
47.30062231994854,27.87116700235238,25.711,162.0,79,386,349,265,32,sorghum
53.30983848653953,20.68415734053057,29.003166,76.0,80,561,327,112,42,date_palm
52.62925319226827,21.028453377729043,28.734167,69.0,80,557,304,139,42,date_palm
39.75115290584262,27.68571529851338,21.481667,95.0,80,377,282,341,44,wheat
45.98470826493124,26.27355154856948,25.085833,177.0,79,459,306,235,24,sorghum
38.12906239713213,30.42698772373273,21.086834,40.0,80,343,347,309,86,wheat
40.0739974287039,22.160875221635905,25.814667,100.0,81,550,258,193,31,sorghum
44.77472104633451,20.23127363726748,28.362667,103.0,80,446,314,240,104,sorghum
48.65949976694024,27.562760623889744,26.042166,103.0,79,308,328,364,42,sorghum
36.945976970594046,26.834470311635293,24.300833,35.0,80,449,343,208,41,sorghum
37.95857631023016,29.65438365066868,21.078167,38.0,79,387,346,267,41,wheat
41.31318756485667,28.953781353583334,22.264166,102.0,80,392,271,337,63,alfalfa
39.17756349536906,31.887283309937743,18.695667,112.0,80,269,393,339,52,wheat
47.01801284131479,23.867458806533776,26.717833,103.0,81,416,334,250,44,sorghum
37.09183475847234,26.279270760387668,24.365,42.0,79,456,312,232,52,sorghum
38.160842952207695,31.684759529895388,19.870333,73.0,81,234,395,371,60,date_palm
48.612571888228345,26.147267416253072,25.559834,99.0,80,473,303,224,29,sorghum
41.17552854683908,26.639953366633968,22.9465,143.0,80,390,336,275,46,wheat
46.749006089877135,23.948651616524494,25.742167,116.0,80,464,334,202,62,sorghum
43.1876193974623,19.836854347245566,26.688833,167.0,82,488,328,184,67,sorghum
45.60405261849983,20.4421656006379,28.972,86.0,81,462,341,197,48,date_palm
47.23241972970305,18.22981497035792,28.798334,64.0,82,551,301,147,51,date_palm
42.34126539571648,26.91909727185889,22.916166,168.0,79,384,317,299,55,wheat
38.57947866992847,30.466500198743624,21.2475,48.0,80,391,338,271,61,wheat
38.2323447184412,30.78474874574564,21.424833,43.0,80,298,333,369,75,wheat
40.8960679752844,29.10636049334692,22.164167,88.0,80,358,297,345,67,alfalfa
40.301012130667054,29.435903868684893,22.109167,69.0,80,390,302,308,45,wheat
38.27904915668734,24.95722678035733,24.405167,82.0,78,488,326,186,95,sorghum
39.10812497945385,25.796861586097023,25.525,74.0,79,429,367,205,39,sorghum
45.9927658029356,18.49759862869589,27.959333,80.0,81,532,308,160,50,date_palm
40.81774396826625,24.0752401517709,27.593166,93.0,80,442,302,257,31,sorghum
43.70760265624749,17.646416006342264,21.662832,174.0,82,530,294,176,106,wheat
46.52056698979095,24.272214282682118,25.809166,122.0,79,492,289,220,61,sorghum
46.23231668282397,20.42064744735275,28.989666,80.0,82,459,311,230,42,date_palm
37.28143124584385,25.71518373248815,25.417334,42.0,80,435,343,222,49,sorghum
42.84246246494764,17.958590333837446,22.9895,193.0,81,439,365,196,117,wheat
44.623363601641564,28.04715022789281,24.873333,182.0,80,311,431,257,34,sorghum
47.85207013057246,23.031256460595333,27.3805,84.0,81,467,326,207,41,date_palm
42.9246616167655,18.78778550554493,23.500166,201.0,82,536,274,190,91,sorghum
45.52772374244303,24.60949966725097,26.028166,138.0,80,377,371,253,38,sorghum
46.17820321681911,28.468308441623847,25.235,241.0,79,360,356,284,40,wheat
46.90115193131559,19.66582690806069,28.769333,72.0,82,535,325,140,42,date_palm
39.00923952979949,23.78809781455983,27.6585,72.0,78,428,336,236,77,sorghum
44.13387807519284,19.694905673450947,26.945333,130.0,82,467,338,195,48,sorghum
51.25799730521588,24.30074141761081,27.605,64.0,79,597,214,188,51,date_palm
47.89469819779104,22.609196971274585,27.964167,77.0,82,487,296,216,39,date_palm
41.14749569449867,26.76183950521968,22.712166,144.0,80,365,358,276,57,wheat
51.48240150543907,20.60971013902992,28.561333,61.0,81,548,318,134,47,date_palm
42.84406822003149,30.303137862767212,23.352333,82.0,79,257,452,291,56,sorghum
43.15597717658781,20.82212047875239,27.797,139.0,82,485,291,224,51,sorghum
41.552354594706,20.14569798611612,22.119333,227.0,79,536,242,222,161,alfalfa
49.28541439074747,18.90067511632829,29.230333,55.0,82,542,317,140,50,date_palm
46.78034151413004,21.79407356479516,27.768667,89.0,82,492,322,186,49,date_palm
43.730645353681766,29.554384405349364,23.554335,108.0,79,231,352,417,53,sorghum
50.89996973711923,20.775754147111385,28.579,60.0,81,532,349,120,48,date_palm
50.74074981663125,22.446352224020934,28.1935,62.0,80,536,301,163,41,date_palm
37.09398002542052,28.1323966272086,21.2445,53.0,81,444,284,272,40,wheat
41.00470061454861,19.367097579840085,30.524666,192.0,81,467,324,209,113,sorghum
45.88692397381243,19.316406458215248,28.208166,84.0,82,517,315,168,45,date_palm
49.91431329658384,26.82937410713159,25.960167,83.0,77,470,257,273,69,sorghum
45.07215267926332,22.70833357875637,27.450834,119.0,81,503,310,187,42,sorghum
46.49417532238205,18.47480097751016,28.081,73.0,81,523,326,151,44,date_palm
52.365982577872416,22.213648175416186,28.389334,66.0,80,539,285,175,45,date_palm
40.53334533567573,27.238448064542126,22.225,116.0,80,312,331,357,39,sorghum
50.432041071149385,18.995419477498167,28.821001,56.0,82,546,317,137,53,date_palm
43.7334028121744,19.80872531707471,27.391834,140.0,82,451,337,211,51,sorghum
44.6948260790479,20.299807708670144,28.3965,103.0,80,395,377,228,79,sorghum
47.46346354054666,18.960632320881796,29.000668,66.0,82,537,320,143,50,date_palm
47.75405268942711,25.3196605660242,25.5695,112.0,80,454,313,233,40,sorghum
44.88576548584437,24.870171510829405,25.630667,153.0,79,439,307,254,47,sorghum
